epoch,train_accuracy,train_balanced_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_loss,val_accuracy,val_balanced_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_loss,lr,best_epoch,best_val_f1_macro,epochs_since_best,improved
1,0.6210035523978685,0.5493762274450958,0.38661843574673266,0.5493762274450958,0.43030176080012056,1.2088344276288658,0.7315369261477046,0.7728471611788874,0.5356587541412534,0.7728471611788874,0.6066814477692591,0.8174321590374389,0.0001,1,0.6066814477692591,0,True
2,0.7062611012433393,0.6717182195649253,0.49692916793560665,0.6717182195649253,0.5567953276062552,0.9410284565434953,0.7634730538922155,0.7757576740770018,0.5633705136088957,0.7757576740770018,0.624576352313551,0.7668293555399139,0.0001,2,0.624576352313551,0,True
3,0.7261323268206039,0.7254313330980947,0.5503879420668036,0.7254313330980947,0.6137335139999497,0.7835282135668439,0.718562874251497,0.804554552315952,0.561262840496994,0.804554552315952,0.6305426873706771,0.6392850568313561,0.0001,3,0.6305426873706771,0,True
4,0.7583259325044405,0.7449943757091342,0.5892702966405176,0.7449943757091342,0.6489919449388025,0.7367959588213897,0.7974051896207585,0.8312641123634373,0.6124316945986837,0.8312641123634373,0.6712270621279449,0.6491767122045743,0.0001,4,0.6712270621279449,0,True
5,0.7768650088809946,0.7923696645904806,0.6345633796165967,0.7923696645904806,0.6976673123618603,0.6506555835738849,0.8313373253493014,0.8328305938720596,0.6703022920976744,0.8328305938720596,0.7209872104022311,0.5836229587059529,0.0001,5,0.7209872104022311,0,True
6,0.7905195381882771,0.7947386896140867,0.6529380192499113,0.7947386896140867,0.7115996589507619,0.6325078741712918,0.8223552894211577,0.8454316080159859,0.6542707351043796,0.8454316080159859,0.7145448337039563,0.6229965276537489,0.0001,5,0.7209872104022311,1,False
7,0.797291296625222,0.8089061845155044,0.6588995439868423,0.8089061845155044,0.7203882994922987,0.58682175253269,0.8073852295409182,0.8234632564912217,0.6621232327940599,0.8234632564912217,0.7233469123357773,0.5547985884392571,0.0001,7,0.7233469123357773,0,True
8,0.809613676731794,0.8367522624548803,0.6976607707920233,0.8367522624548803,0.7559822273781494,0.5296086065068595,0.8203592814371258,0.7558322680584701,0.6726972529294425,0.7558322680584701,0.6824339072993346,0.7442110672422959,0.0001,7,0.7233469123357773,1,False
9,0.8192717584369449,0.828985134546832,0.6943064784942677,0.828985134546832,0.7511927577157546,0.5072979385162001,0.8333333333333334,0.8378838537469202,0.6814638273626178,0.8378838537469202,0.7400567624036546,0.571111872493523,0.0001,9,0.7400567624036546,0,True
10,0.8302619893428064,0.8584262664851493,0.7386257942967566,0.8584262664851493,0.7904346375122832,0.45660363631396345,0.8522954091816367,0.860651692908202,0.7551324389410033,0.860651692908202,0.794902530484537,0.493023177831338,0.0001,10,0.794902530484537,0,True
11,0.8400310834813499,0.8703729868919775,0.751857903761971,0.8703729868919775,0.8031634842480712,0.42911754900371146,0.8093812375249501,0.8158572527976027,0.6569257658217728,0.8158572527976027,0.7056164000978867,0.5751224632733716,0.0001,10,0.794902530484537,1,False
12,0.8319271758436945,0.8648197375230008,0.7341012927901593,0.8648197375230008,0.7889276757238924,0.44008638627201396,0.8522954091816367,0.8597483251567837,0.7212492295309955,0.8597483251567837,0.7754704452077644,0.5020495505925424,0.0001,10,0.794902530484537,2,False
13,0.8436944937833037,0.8786593338570255,0.7498960390995781,0.8786593338570255,0.8052802688831229,0.3864705677627922,0.844311377245509,0.8569296055313415,0.7156340267586874,0.8569296055313415,0.7716751268789847,0.5336637896404269,0.0001,10,0.794902530484537,3,False
14,0.8577930728241563,0.894927358636683,0.785174375795642,0.894927358636683,0.833586141499506,0.36196116827081976,0.8363273453093812,0.818564154223336,0.7167057165315004,0.818564154223336,0.7614696567777488,0.6088426139163955,0.0001,10,0.794902530484537,4,False
15,0.8494671403197158,0.8825548254078873,0.7714735634838712,0.8825548254078873,0.8200796962834492,0.37870233464053216,0.8552894211576846,0.8019442182963329,0.7508037969175072,0.8019442182963329,0.7689063675511658,0.5664627564933427,0.0001,10,0.794902530484537,5,False
16,0.8650088809946714,0.9003066714036551,0.7903084830159758,0.9003066714036551,0.8383626887131215,0.3106054429158702,0.8483033932135728,0.8581748387920036,0.7562548220486505,0.8581748387920036,0.7946596080591533,0.5196960035733834,0.0001,10,0.794902530484537,6,False
17,0.8621225577264654,0.895004105248546,0.8015250373280562,0.895004105248546,0.8430206825514966,0.3530309331285812,0.8413173652694611,0.8651582564793753,0.717023002771444,0.8651582564793753,0.774119081917103,0.46638865701703425,0.0001,10,0.794902530484537,7,False
18,0.8771092362344582,0.9167297220038065,0.8097372243729642,0.9167297220038065,0.8569996962067614,0.29375042751080965,0.8532934131736527,0.8463956896247845,0.7290102829749844,0.8463956896247845,0.7719148196812571,0.637915828855815,5e-05,10,0.794902530484537,8,False
19,0.8925399644760214,0.933158683742856,0.8393621847014009,0.933158683742856,0.8809333910801207,0.23160469429508557,0.873253493013972,0.8716161648934759,0.80659620834489,0.8716161648934759,0.8363031021578681,0.4686295948371346,5e-05,19,0.8363031021578681,0,True
20,0.918183836589698,0.9510035138614049,0.8971009507380509,0.9510035138614049,0.9214167388476158,0.1687915367722713,0.8772455089820359,0.8659544141497578,0.7972266769980213,0.8659544141497578,0.8278429315951528,0.49338069455693484,5e-05,19,0.8363031021578681,1,False
21,0.9230683836589698,0.9537228215619955,0.9037882544123329,0.9537228215619955,0.9267224933244662,0.1691109964040847,0.8493013972055888,0.85025606730387,0.7274536346726949,0.85025606730387,0.776550309067817,0.5598303413124543,5e-05,19,0.8363031021578681,2,False
22,0.9187388987566607,0.9507738089837,0.8932200649672958,0.9507738089837,0.9196056400189185,0.1658685640948079,0.8682634730538922,0.843050934475373,0.7966448106475973,0.843050934475373,0.8173295372690307,0.48992044166169,5e-05,19,0.8363031021578681,3,False
23,0.9230683836589698,0.9531933944817899,0.8908577154068176,0.9531933944817899,0.91955588374936,0.16997919257434305,0.8872255489021956,0.8917272116886388,0.7931351262528478,0.8917272116886388,0.8362018578622978,0.5331551180594785,5e-05,19,0.8363031021578681,4,False
24,0.9310612788632326,0.9560492715950096,0.9015346857350769,0.9560492715950096,0.9268421587320972,0.1566572134706139,0.8792415169660679,0.8737120803934415,0.7866951399485173,0.8737120803934415,0.8239703678220016,0.579232243609106,5e-05,19,0.8363031021578681,5,False
25,0.9323934280639432,0.9600440286557579,0.909439622598839,0.9600440286557579,0.9328163004911302,0.1481553145516802,0.8842315369261478,0.8854465844822643,0.7823238462517061,0.8854465844822643,0.8261380291634126,0.5527960728781837,5e-05,19,0.8363031021578681,6,False
26,0.9375,0.9644780152372109,0.909493262426652,0.9644780152372109,0.9350773376208908,0.13671074208773407,0.8902195608782435,0.8776891156833297,0.8094698097598422,0.8776891156833297,0.8388840654988398,0.4977492353202266,5e-05,26,0.8388840654988398,0,True
27,0.9394982238010657,0.9652517885562535,0.923953311465399,0.9652517885562535,0.9431554442346055,0.12308547891084133,0.8882235528942116,0.8856875122063165,0.8096835339112899,0.8856875122063165,0.843597657638462,0.539140467167593,5e-05,27,0.843597657638462,0,True
28,0.9443827708703375,0.9673950134002622,0.9194707740221002,0.9673950134002622,0.9418630480807412,0.1148503030859873,0.874251497005988,0.8850212095149415,0.7859855891147355,0.8850212095149415,0.8287195891763297,0.5953111563699539,5e-05,27,0.843597657638462,1,False
29,0.9476021314387212,0.9727815302014983,0.9236221931321228,0.9727815302014983,0.9465960906759999,0.1097022167571376,0.8782435129740519,0.8594420657859149,0.7879076212191131,0.8594420657859149,0.8183805093860025,0.5844132050959219,5e-05,27,0.843597657638462,2,False
30,0.9297291296625222,0.9606803459588799,0.8985603733994889,0.9606803459588799,0.9271025558570936,0.13876423450580747,0.8822355289421158,0.8640628160878885,0.8221370079636746,0.8640628160878885,0.8382483175862089,0.5078877373793703,5e-05,27,0.843597657638462,3,False
31,0.9476021314387212,0.9714575993719491,0.9239422219792156,0.9714575993719491,0.9462269450282864,0.10606401568303676,0.8702594810379242,0.8630223330319762,0.7623347511671261,0.8630223330319762,0.8011588887212245,0.6289745077393271,5e-05,27,0.843597657638462,4,False
32,0.9490452930728241,0.9734919653841108,0.9264643972229651,0.9734919653841108,0.9485988275363063,0.104776036965138,0.8802395209580839,0.8636198782086646,0.7819435687651559,0.8636198782086646,0.8094415562880045,0.6054344346678022,5e-05,27,0.843597657638462,5,False
33,0.9483792184724689,0.9716205197281654,0.9299040463668187,0.9716205197281654,0.9492482518678409,0.1017709232363387,0.8942115768463074,0.8777029480983193,0.841651596744768,0.8777029480983193,0.8573508742144796,0.6071587735164293,5e-05,33,0.8573508742144796,0,True
34,0.9488232682060391,0.9664581340921414,0.9257113948040765,0.9664581340921414,0.9449835605507799,0.12658601321586277,0.8852295409181636,0.8605157590486148,0.8147639257491253,0.8605157590486148,0.8347185409437127,0.5542459600161717,5e-05,33,0.8573508742144796,1,False
35,0.9590364120781527,0.9779672950580008,0.939885926690639,0.9779672950580008,0.9578504582546591,0.08002591287605315,0.8952095808383234,0.8697525798090615,0.8443765734061495,0.8697525798090615,0.8547743042641517,0.5027030820771489,5e-05,33,0.8573508742144796,2,False
36,0.9604795737122558,0.9811762408279169,0.9450693648044651,0.9811762408279169,0.9622674079621351,0.08331119534379494,0.8942115768463074,0.8793835978021127,0.8426144415025817,0.8793835978021127,0.8598472190375378,0.5229937350879351,5e-05,36,0.8598472190375378,0,True
37,0.9570381882770871,0.9790802512188395,0.9432294382308174,0.9790802512188395,0.960092018830179,0.08088180059809405,0.8822355289421158,0.8528892734843968,0.8110476824762538,0.8528892734843968,0.8302422622529029,0.5480999565253893,5e-05,36,0.8598472190375378,1,False
38,0.9571492007104796,0.978264192398792,0.9356195004387134,0.978264192398792,0.955869613031892,0.08557920855802004,0.8792415169660679,0.87336426172354,0.8350965485593963,0.87336426172354,0.8493418970716036,0.6954711858715729,5e-05,36,0.8598472190375378,2,False
39,0.9608126110124334,0.9785445123302081,0.9455208284909163,0.9785445123302081,0.9611691240125738,0.08619345267518526,0.8992015968063872,0.8681156290606629,0.8570708301503417,0.8681156290606629,0.8602755113986535,0.6623098726431744,5e-05,39,0.8602755113986535,0,True
40,0.9600355239786856,0.9759054163308563,0.9433844934460719,0.9759054163308563,0.9588165136716575,0.08845499297388261,0.8932135728542914,0.8700402850147995,0.8090284448697719,0.8700402850147995,0.8360368586582049,0.6453670291030248,5e-05,39,0.8602755113986535,1,False
41,0.9641429840142096,0.9780958428158089,0.9393853017584377,0.9780958428158089,0.9578888415986543,0.06692253858622704,0.8902195608782435,0.8545924883023657,0.8328371851573271,0.8545924883023657,0.8408858550640038,0.6518690513038602,5e-05,39,0.8602755113986535,2,False
42,0.9604795737122558,0.9775123672762006,0.9351246979644353,0.9775123672762006,0.9552890745514394,0.08734054364407952,0.8962075848303394,0.900752569122868,0.8178116767675343,0.900752569122868,0.8531826244818019,0.5032885123001614,5e-05,39,0.8602755113986535,3,False
43,0.9564831261101243,0.9712311953096243,0.921723378726791,0.9712311953096243,0.9451872164340703,0.10888936347360417,0.8762475049900199,0.8544693690099392,0.8035606756421058,0.8544693690099392,0.8263545552038798,0.541507956757305,5e-05,39,0.8602755113986535,4,False
44,0.9640319715808171,0.9784920079171392,0.9373595846711911,0.9784920079171392,0.9569806164122026,0.0701949365071394,0.8772455089820359,0.8648354061083088,0.7883423052751127,0.8648354061083088,0.8192695135656985,0.6301258466951921,5e-05,39,0.8602755113986535,5,False
45,0.9715808170515098,0.9844050678352227,0.9538465885741945,0.9844050678352227,0.9686704871111135,0.06623983482286085,0.8972055888223552,0.9007504818498069,0.8538186068797163,0.9007504818498069,0.8751896042205745,0.5077964903925242,5e-05,45,0.8751896042205745,0,True
46,0.9662522202486679,0.9767653622318393,0.9424738598086444,0.9767653622318393,0.9590359753834587,0.09137860403525508,0.8792415169660679,0.8668922694546058,0.8150901731164287,0.8668922694546058,0.8355119470528443,0.5314308836114613,5e-05,45,0.8751896042205745,1,False
47,0.9720248667850799,0.989407910794923,0.9580773695175394,0.989407910794923,0.9730811031951301,0.048550038117194196,0.8782435129740519,0.8743537532626939,0.7823404622220375,0.8743537532626939,0.8203201086688888,0.5465302667403947,5e-05,45,0.8751896042205745,2,False
48,0.9664742451154529,0.9808290346500763,0.9489471531615246,0.9808290346500763,0.9642709287546988,0.07429506412873012,0.8872255489021956,0.8190597357080343,0.8304131551525165,0.8190597357080343,0.8222480486166083,0.6381949963779588,5e-05,45,0.8751896042205745,3,False
49,0.9714698046181173,0.9835355163416077,0.9580368030762333,0.9835355163416077,0.9703717753074926,0.057370933354573904,0.8952095808383234,0.8598408292305523,0.846633306971678,0.8598408292305523,0.8517972853114226,0.608733684723561,5e-05,45,0.8751896042205745,4,False
50,0.9740230905861457,0.9868489405558749,0.9616668710127073,0.9868489405558749,0.973825763280127,0.0490450017909515,0.8982035928143712,0.8774315913178016,0.8562020648095094,0.8774315913178016,0.8646623963690651,0.6502795482420096,5e-05,45,0.8751896042205745,5,False
51,0.9721358792184724,0.9850355645566568,0.9551462840237596,0.9850355645566568,0.9695379354888242,0.061563023696060426,0.8932135728542914,0.8637529898171861,0.8279974548587186,0.8637529898171861,0.8441177557589803,0.6379175801789797,5e-05,45,0.8751896042205745,6,False
52,0.9662522202486679,0.9816053885012552,0.9510629062653114,0.9816053885012552,0.9656962446703247,0.07656466565968036,0.8912175648702595,0.8644236532168754,0.8341857264392962,0.8644236532168754,0.8485935433671268,0.6623783403145012,5e-05,45,0.8751896042205745,7,False
53,0.9759103019538188,0.9874553041325255,0.9611028494548898,0.9874553041325255,0.9738627180893761,0.043813341759667286,0.8992015968063872,0.8696170158561672,0.8530495091816744,0.8696170158561672,0.859926911059065,0.6303429413773739,2.5e-05,45,0.8751896042205745,8,False
54,0.9812388987566607,0.9911268961636645,0.9677218480516769,0.9911268961636645,0.9791071642643726,0.043110667135316465,0.8992015968063872,0.8584585427194602,0.8458139338343676,0.8584585427194602,0.8500472350170993,0.6988218411062695,2.5e-05,45,0.8751896042205745,9,False
55,0.9832371225577264,0.9930697395985203,0.9762589178343715,0.9930697395985203,0.9844810986487298,0.03507532112604744,0.8992015968063872,0.9017849005312844,0.848248945917077,0.9017849005312844,0.8726642893295923,0.5593769700049623,2.5e-05,45,0.8751896042205745,10,False
56,0.9855683836589698,0.9926481432802995,0.9787670426150835,0.9926481432802995,0.9855661328994076,0.029170362866375466,0.9031936127744511,0.8846544756380822,0.85395538046663,0.8846544756380822,0.8657840437158609,0.6489198015589206,2.5e-05,45,0.8751896042205745,11,False
57,0.9873445825932504,0.9951415562974171,0.9826497575585854,0.9951415562974171,0.9887845518412367,0.024475524808461595,0.9111776447105788,0.8956767272099962,0.8664374311437971,0.8956767272099962,0.8784032988204317,0.6179850548540637,2.5e-05,57,0.8784032988204317,0,True
58,0.9878996447602132,0.9946434256080252,0.9844468045693884,0.9946434256080252,0.9894295224672115,0.023259958565490152,0.8952095808383234,0.8526511269106667,0.8591555110373824,0.8526511269106667,0.8551476343931007,0.7404875347543028,2.5e-05,57,0.8784032988204317,1,False
59,0.9832371225577264,0.9920402390551251,0.9704344110250093,0.9920402390551251,0.9809367523295853,0.028837504307143345,0.906187624750499,0.8976542209907687,0.854080616247222,0.8976542209907687,0.8737893994937048,0.5732005936544349,2.5e-05,57,0.8784032988204317,2,False
60,0.9898978685612788,0.9929073745639723,0.9812353614802448,0.9929073745639723,0.9870008653198913,0.025186199451530555,0.906187624750499,0.8937510429313708,0.8604396721022104,0.8937510429313708,0.8747557421142262,0.6837047363881379,2.5e-05,57,0.8784032988204317,3,False
